Date,Employee ID,Status,Relaxation,Entered By,Comment,Approval,Rejection Comment
2015-01-13,76751,Working,0,Big Brother,\N,\N,\N
2015-01-13,76932,Working,0,Big Brother,\N,\N,\N
2015-01-13,76750,Working,0,Big Brother,\N,\N,\N
2015-01-13,62182,Working,0,Big Brother,\N,\N,\N
2015-01-13,62509,Working,0,Big Brother,\N,\N,\N
2015-01-13,62487,Working,0,Big Brother,\N,\N,\N
2015-01-13,60952,Working,0,Big Brother,\N,\N,\N
2015-01-13,60877,Working,0,Big Brother,\N,\N,\N
2015-01-13,72062,Working,0,Big Brother,\N,\N,\N
2015-01-13,72891,Working,0,Big Brother,\N,\N,\N
2015-01-13,72187,Working,0,Big Brother,\N,\N,\N
2015-01-13,77584,Working,0,Big Brother,\N,\N,\N
2015-01-13,54660,Working,0,Big Brother,\N,\N,\N
2015-01-13,21031,Working,0,Big Brother,\N,\N,\N
2015-01-13,75802,Working,0,Big Brother,\N,\N,\N
2015-01-13,76749,Working,0,Big Brother,\N,\N,\N
2015-01-13,55502,Working,0,Big Brother,\N,\N,\N
2015-01-14,56035,Working,0,Big Brother,\N,\N,\N
2015-01-14,55863,Working,0,Big Brother,\N,\N,\N
2015-01-14,61454,Working,0,Big Brother,\N,\N,\N
2015-01-14,61904,Working,0,Big Brother,\N,\N,\N
2015-01-14,73343,Working,0,Big Brother,\N,\N,\N
2015-01-14,73858,Working,0,Big Brother,\N,\N,\N
2015-01-14,61949,Working,0,Big Brother,\N,\N,\N
2015-01-14,73957,Working,0,Big Brother,\N,\N,\N
2015-01-14,74565,Working,0,Big Brother,\N,\N,\N
2015-01-14,74839,Working,0,Big Brother,\N,\N,\N
2015-01-14,75027,Working,0,Big Brother,\N,\N,\N
2015-01-14,75028,Working,0,Big Brother,\N,\N,\N
2015-01-14,75026,Working,0,Big Brother,\N,\N,\N
2015-01-14,76751,Working,0,Big Brother,\N,\N,\N
2015-01-14,76932,Working,0,Big Brother,\N,\N,\N
2015-01-14,76750,Working,0,Big Brother,\N,\N,\N
2015-01-14,62182,Working,0,Big Brother,\N,\N,\N
2015-01-14,62509,Working,0,Big Brother,\N,\N,\N
2015-01-14,62487,Working,0,Big Brother,\N,\N,\N
2015-01-14,60952,Working,0,Big Brother,\N,\N,\N
2015-01-14,60877,Working,0,Big Brother,\N,\N,\N
2015-01-14,72062,Working,0,Big Brother,\N,\N,\N
2015-01-14,72891,Working,0,Big Brother,\N,\N,\N
2015-01-14,72187,Working,0,Big Brother,\N,\N,\N
2015-01-14,77584,Working,0,Big Brother,\N,\N,\N
2015-01-14,54660,Working,0,Big Brother,\N,\N,\N
2015-01-14,21031,Working,0,Big Brother,\N,\N,\N
